DATE,CPIAUCSL_NBD19720101
1947-01-01,52.13592
1947-02-01,52.47573
1947-03-01,53.39806
1947-04-01,53.39806
1947-05-01,53.27670
1947-06-01,53.59223
1947-07-01,53.95631
1947-08-01,54.36893
1947-09-01,55.43689
1947-10-01,55.60680
1947-11-01,55.97087
1947-12-01,56.82039
1948-01-01,57.47573
1948-02-01,57.45146
1948-03-01,57.03883
1948-04-01,57.81553
1948-05-01,58.27670
1948-06-01,58.61650
1948-07-01,59.22330
1948-08-01,59.29612
1948-09-01,59.12621
1948-10-01,59.00485
1948-11-01,58.64078
1948-12-01,58.37379
1949-01-01,58.27670
1949-02-01,58.03398
1949-03-01,58.03398
1949-04-01,58.05825
1949-05-01,58.03398
1949-06-01,58.05825
1949-07-01,57.52427
1949-08-01,57.52427
1949-09-01,57.64563
1949-10-01,57.45146
1949-11-01,57.52427
1949-12-01,57.30583
1950-01-01,57.06311
1950-02-01,57.30583
1950-03-01,57.37864
1950-04-01,57.40291
1950-05-01,57.69417
1950-06-01,57.96117
1950-07-01,58.42233
1950-08-01,58.73786
1950-09-01,59.07767
1950-10-01,59.46602
1950-11-01,59.70874
1950-12-01,60.63107
1951-01-01,61.60194
1951-02-01,62.69417
1951-03-01,62.81553
1951-04-01,62.91262
1951-05-01,63.08252
1951-06-01,62.93689
1951-07-01,62.88835
1951-08-01,62.76699
1951-09-01,63.17961
1951-10-01,63.49515
1951-11-01,63.88350
1951-12-01,64.24757
1952-01-01,64.19903
1952-02-01,64.10194
1952-03-01,64.05340
1952-04-01,64.22330
1952-05-01,64.24757
1952-06-01,64.39320
1952-07-01,64.75728
1952-08-01,64.78155
1952-09-01,64.63592
1952-10-01,64.78155
1952-11-01,64.78155
1952-12-01,64.83010
1953-01-01,64.66019
1953-02-01,64.53883
1953-03-01,64.63592
1953-04-01,64.78155
1953-05-01,64.80583
1953-06-01,64.97573
1953-07-01,65.02427
1953-08-01,65.16990
1953-09-01,65.26699
1953-10-01,65.41262
1953-11-01,65.16990
1953-12-01,65.21845
1954-01-01,65.38835
1954-02-01,65.50971
1954-03-01,65.36408
1954-04-01,65.19417
1954-05-01,65.36408
1954-06-01,65.38835
1954-07-01,65.19417
1954-08-01,65.16990
1954-09-01,65.07282
1954-10-01,64.85437
1954-11-01,65.00000
1954-12-01,64.97573
1955-01-01,64.97573
1955-02-01,65.09709
1955-03-01,65.02427
1955-04-01,65.02427
1955-05-01,64.97573
1955-06-01,64.83010
1955-07-01,64.95146
1955-08-01,64.85437
1955-09-01,65.16990
