DATE,QUSR628BIS_NBD19771001
1975-10-01,84.69520
1976-01-01,87.93774
1976-04-01,87.41894
1976-07-01,89.49416
1976-10-01,91.82879
1977-01-01,93.90402
1977-04-01,95.84955
1977-07-01,97.92477
1977-10-01,100.00000
1978-01-01,101.94553
1978-04-01,102.98314
1978-07-01,104.40986
1978-10-01,105.83658
1979-01-01,107.52270
1979-04-01,108.43061
1979-07-01,108.94942
1979-10-01,109.59792
1980-01-01,107.78210
1980-04-01,105.83658
1980-07-01,106.61479
1980-10-01,106.09598
1981-01-01,105.18807
1981-04-01,104.28016
1981-07-01,102.20493
1981-10-01,101.81582
1982-01-01,101.55642
1982-04-01,100.12970
1982-07-01,98.31388
1982-10-01,98.70298
1983-01-01,99.74060
1983-04-01,99.87030
1983-07-01,100.00000
1983-10-01,100.38911
1984-01-01,100.51881
1984-04-01,100.64851
1984-07-01,100.77821
1984-10-01,101.03761
1985-01-01,101.55642
1985-04-01,102.07523
1985-07-01,102.72374
1985-10-01,103.76135
1986-01-01,105.57717
1986-04-01,107.91180
1986-07-01,109.59792
1986-10-01,111.28405
1987-01-01,112.97017
1987-04-01,114.00778
1987-07-01,115.17510
1987-10-01,116.47211
1988-01-01,117.63943
1988-04-01,119.06615
1988-07-01,120.75227
1988-10-01,122.56809
1989-01-01,123.73541
1989-04-01,123.47601
1989-07-01,124.12451
1989-10-01,124.64332
1990-01-01,123.73541
1990-04-01,122.69780
1990-07-01,120.23346
1990-10-01,117.63943
1991-01-01,116.08301
1991-04-01,115.69390
1991-07-01,114.65629
1991-10-01,113.48898
1992-01-01,112.97017
1992-04-01,111.80285
1992-07-01,110.76524
1992-10-01,110.37613
1993-01-01,109.72763
1993-04-01,109.33852
1993-07-01,109.72763
1993-10-01,109.98703
1994-01-01,109.72763
1994-04-01,109.59792
1994-07-01,109.20882
1994-10-01,109.07912
1995-01-01,108.69001
1995-04-01,108.43061
1995-07-01,108.69001
1995-10-01,108.81971
1996-01-01,108.69001
1996-04-01,108.43061
1996-07-01,108.43061
1996-10-01,108.30091
1997-01-01,108.56031
1997-04-01,109.07912
1997-07-01,109.98703
1997-10-01,111.28405
1998-01-01,112.97017
1998-04-01,114.00778
1998-07-01,115.56420
1998-10-01,117.38003
1999-01-01,118.67704
1999-04-01,119.84436
1999-07-01,121.53048
1999-10-01,123.34630
2000-01-01,125.16213
2000-04-01,126.97795
2000-07-01,128.79377
2000-10-01,130.99870
2001-01-01,132.68482
2001-04-01,133.72244
2001-07-01,136.05707
2001-10-01,138.65110
2002-01-01,140.72633
2002-04-01,142.80156
2002-07-01,145.65499
2002-10-01,148.37873
2003-01-01,149.80545
2003-04-01,152.39948
2003-07-01,156.16083
2003-10-01,161.21920
2004-01-01,165.23995
2004-04-01,169.39040
2004-07-01,174.96757
2004-10-01,180.28534
2005-01-01,186.64073
2005-04-01,191.43969
2005-07-01,195.71984
2005-10-01,200.51881
2006-01-01,202.72374
2006-04-01,198.70298
2006-07-01,195.97925
2006-10-01,197.14656
2007-01-01,192.99611
2007-04-01,183.78729
2007-07-01,177.56161
2007-10-01,170.42802
2008-01-01,161.34890
2008-04-01,150.32425
2008-07-01,141.63424
2008-10-01,138.13230
2009-01-01,134.63035
2009-04-01,133.07393
2009-07-01,132.81453
2009-10-01,133.07393
2010-01-01,132.55512
2010-04-01,131.12840
2010-07-01,128.40467
2010-10-01,126.84825
2011-01-01,124.12451
2011-04-01,121.53048
2011-07-01,121.53048
2011-10-01,121.78988
2012-01-01,122.17899
2012-04-01,124.12451
2012-07-01,126.32944
2012-10-01,129.05318
2013-01-01,131.51751
2013-04-01,134.50065
2013-07-01,137.35409
2013-10-01,140.46693
2014-01-01,141.37484
2014-04-01,140.72633
2014-07-01,142.41245
2014-10-01,145.65499
2015-01-01,148.63813
2015-04-01,148.76783
2015-07-01,150.19455
2015-10-01,152.78859
2016-01-01,154.86381
2016-04-01,154.99351
2016-07-01,157.32815
