Date,Stock Price,Equity REIT Price,diff_stockprice,diff_Equity REIT Price
26299,103.94,98.65462,2.63,
26330,106.57,100.3682599,0.63,1.713639924
26359,107.2,99.62905712,0.47,-0.7392028
26390,107.67,102.8533523,1.86,3.224295176
26420,109.53,92.82986525,-2.39,-10.02348705
26451,107.14,101.7469526,0.25,8.9170874
26481,107.39,106.360213,3.7,4.613260352
26512,111.09,104.8138013,-0.54,-1.54641166
26543,110.55,108.1629331,1.03,3.349131745
26573,111.58,104.7719441,5.09,-3.390988966
26604,116.67,103.0697135,1.38,-1.702230614
26634,118.05,101.0805783,-2.02,-1.989135186
26665,116.03,101.5859558,-4.35,0.50537752
26696,111.68,95.87471691,-0.16,-5.711238932
26724,111.52,97.41943884,-4.55,1.544721934
26755,106.97,92.03361734,-2.02,-5.385821499
26785,104.95,89.3318886,-0.69,-2.701728747
26816,104.26,90.5762668,3.96,1.2443782
26846,108.22,92.83135308,-3.97,2.255086281
26877,104.25,88.33947951,4.18,-4.491873569
26908,108.43,93.27754952,-0.14,4.938070014
26938,108.29,93.25634446,-12.33,-0.021205065
26969,95.96,80.13746148,1.59,-13.11888298
26999,97.55,79.06584643,-0.98,-1.071615044
27030,96.57,81.65924621,-0.35,2.59339977
27061,96.22,85.03269403,-2.24,3.373447821
27089,93.98,82.31172647,-3.67,-2.720967554
27120,90.31,76.94147913,-3.03,-5.370247343
27150,87.28,71.50403157,-1.28,-5.437447559
27181,86,71.69781393,-6.69,0.193782361
27211,79.31,65.19609915,-7.16,-6.501714785
27242,72.15,60.242996,-8.61,-4.953103145
27273,63.54,59.23616216,10.36,-1.006833843
27303,73.9,60.85696088,-3.93,1.620798722
27334,69.97,57.56428077,-1.41,-3.292680109
27364,68.56,55.87880554,8.42,-1.685475233
27395,76.98,62.89159194,4.61,7.012786407
27426,81.59,64.3261396,1.77,1.434547653
27454,83.36,65.47234958,3.94,1.146209985
27485,87.3,66.64579407,3.85,1.173444488
27515,91.15,65.60728572,4.04,-1.038508353
27546,95.19,68.93387224,-6.44,3.326586521
27576,88.75,67.03322641,-1.87,-1.900645828
27607,86.88,65.97463663,-3.01,-1.058589784
27638,83.87,61.05564042,5.17,-4.918996203
27668,89.04,58.91951873,2.2,-2.136121698
27699,91.24,59.87475419,-1.05,0.955235467
27729,90.19,60.53831047,10.67,0.663556275
27760,100.86,68.06970526,-1.15,7.531394797
27791,99.71,71.39294887,3.06,3.323243606
27820,102.77,70.95984597,-1.13,-0.433102897
27851,101.64,71.72820202,-1.46,0.768356051
27881,100.18,69.68453278,4.1,-2.043669245
27912,104.28,71.6854755,-0.84,2.000942719
27942,103.44,72.74738162,-0.53,1.061906125
27973,102.91,75.37953764,2.33,2.632156019
28004,105.24,75.33144301,-2.34,-0.048094633
28034,102.9,75.70940805,-0.8,0.377965044
28065,102.1,78.10830229,5.36,2.398894234
28095,107.46,82.45918038,-5.43,4.350878088
