Date,Return,Price,Equity_Rtn,Mortgage_Rtn,Equity_Price,Mortgage_Price
12/1/1971,100,100,100,100,100,100
1/1/1972,101.22,100.33,100,101.24,98.65,100.87
2/1/1972,102.18,101.25,101.74,101.76,100.37,101.39
3/1/1972,102.44,100.81,101.42,100.15,99.63,98.61
4/1/1972,102.7,100.41,105.31,100.52,102.85,98.51
5/1/1972,101.15,98.63,95.44,101.88,92.83,99.71
6/1/1972,101.16,97.96,104.96,98.43,101.75,95.16
7/1/1972,104.02,99.78,111.05,99.83,106.36,96.04
8/1/1972,102.84,98.52,109.56,98.09,104.81,94.19
9/1/1972,105.89,100.65,113.78,100.7,108.16,95.44
10/1/1972,108.9,102.6,111.15,106.28,104.77,100.23
11/1/1972,111.21,104.61,109.7,110.14,103.07,103.69
12/1/1972,111.19,103.84,108.01,112.17,101.08,104.34
1/1/1973,111.57,103.21,109.64,112.39,101.59,104.01
2/1/1973,104.39,96.44,103.59,103.95,95.87,96.02
3/1/1973,106.05,97.15,106.05,106.42,97.42,97.05
4/1/1973,101.94,92.55,101.07,99.44,92.03,90.21
5/1/1973,97.82,88.62,98.21,96.92,89.33,87.59
6/1/1973,98.72,88.59,100.3,96.64,90.58,86.04
7/1/1973,100.87,89.62,103.82,97.22,92.83,86.02
8/1/1973,94.28,83.62,98.97,90.23,88.34,79.64
9/1/1973,101.67,89.38,105.39,97.8,93.28,85.17
10/1/1973,102.92,89.52,106.35,97.28,93.26,84.02
11/1/1973,88.48,76.82,91.46,82.35,80.14,70.9
12/1/1973,80.93,69.46,91.25,71.5,79.07,60.47
1/1/1974,83.44,70.64,95.43,74.74,81.66,62.5
2/1/1974,87.26,73.62,99.53,78.34,85.03,65.3
3/1/1974,84.05,70.12,97.36,73.71,82.31,60.34
4/1/1974,73.77,60.55,92.02,63.72,76.94,51.51
5/1/1974,69.6,56.98,85.56,58.38,71.5,46.92
6/1/1974,63.2,50.97,86.89,52.1,71.7,40.85
7/1/1974,62.19,49.29,80.25,52.83,65.2,40.8
8/1/1974,51.03,40.29,74.2,41.32,60.24,31.72
9/1/1974,52.76,40.99,73.84,43.73,59.24,32.67
10/1/1974,57.45,43.9,77.01,50,60.86,36.83
11/1/1974,51.43,39.21,72.89,43.72,57.56,32.08
12/1/1974,46.75,35.04,71.72,39.09,55.88,27.84
1/1/1975,61.16,45.22,81.82,54.1,62.89,38.2
2/1/1975,58.34,43.01,83.81,49.51,64.33,34.87
3/1/1975,63.56,46.29,86.17,55.59,65.47,38.39
4/1/1975,60.11,43.28,88.54,52.06,66.65,35.66
5/1/1975,62.16,44.61,87.33,52.11,65.61,35.58
6/1/1975,66.13,46.87,92.78,55.71,68.93,37.28
7/1/1975,66.28,46.39,91.37,56.97,67.03,37.82
8/1/1975,65.32,45.65,89.97,55.95,65.97,37.06
9/1/1975,60.33,41.59,84.3,52.29,61.06,33.89
10/1/1975,59.5,40.5,82.23,51.28,58.92,32.95
11/1/1975,60.33,41.03,83.62,50.29,59.87,32.29
12/1/1975,63.74,42.82,85.56,55.04,60.54,34.66
1/1/1976,73.03,48.38,97.27,61.75,68.07,38.6
2/1/1976,75.88,50.17,102.06,66.62,71.39,41.42
3/1/1976,75.21,49.32,102.49,64.62,70.96,39.75
4/1/1976,75.76,49.15,104.39,63.57,71.73,38.84
5/1/1976,74.25,48.04,101.46,62.72,69.68,38.09
6/1/1976,75.28,48.3,105.51,64.43,71.69,38.68
7/1/1976,77.61,49.28,108.17,67.24,72.75,40.12
8/1/1976,79.91,50.61,112.16,69.01,75.38,40.99
9/1/1976,82.58,51.84,113.29,73.21,75.33,42.92
10/1/1976,83.62,52,114.6,73.11,75.71,42.6
11/1/1976,87.24,54.12,118.41,76.82,78.11,44.57
12/1/1976,94.96,58.47,126.28,83.5,82.46,47.97
1/1/1977,96.68,58.95,133.62,82.75,86.59,47.27
2/1/1977,96.23,58.53,134.95,83.23,87.31,47.4
3/1/1977,96.58,58.28,135.84,83.75,87.01,47.11
4/1/1977,100.11,59.94,137.62,86.72,87.71,48.56
5/1/1977,98.98,59.05,138.09,85.12,87.88,47.46
6/1/1977,104.03,61.6,144,88.82,90.77,48.92
7/1/1977,107.48,63.12,144.33,94.34,90.36,51.7
8/1/1977,108.66,63.6,144.57,95.67,90.4,52.23
9/1/1977,106.97,62.13,145.28,92.51,89.96,49.87
10/1/1977,105.77,60.87,145.25,91.74,89.39,49.19
11/1/1977,112.82,64.75,151.73,100.43,93.24,53.62
12/1/1977,113.07,64.37,154.59,98.38,93.98,51.89
1/1/1978,109.44,61.94,151.05,94.52,91.23,49.64
2/1/1978,110.68,62.17,153.22,94.74,92.23,49.46
3/1/1978,114.95,64.23,160.5,96.68,96.14,50.11
4/1/1978,115.56,64,165.84,98.76,98.25,50.7
5/1/1978,113.52,62.48,160.88,96.81,95.14,49.4
6/1/1978,113.25,62.03,159.68,96.85,94.01,49.04
7/1/1978,116.19,63.02,164.98,99.16,95.92,49.71
8/1/1978,121.1,65.26,172.15,102.74,99.77,51.19
9/1/1978,122.75,65.74,172.19,103.01,98.95,50.96
10/1/1978,109.81,58.17,159.2,91.43,90.7,44.7
11/1/1978,110.5,58.24,164.42,90.01,93.44,43.68
12/1/1978,111.21,58.31,170.57,88.57,96.48,42.62
1/1/1979,119.72,62.07,177.23,98.82,98.97,47.02
2/1/1979,119.46,61.43,180.89,97.46,100.55,46.02
3/1/1979,128.96,66,193.95,100.94,107.31,47.31
4/1/1979,130.91,66.34,195.45,102.48,106.88,47.48
5/1/1979,130.73,65.81,193.61,101.59,105.66,46.67
6/1/1979,140.89,70.59,211.42,109.28,114.88,49.85
7/1/1979,144.49,71.69,220.54,109.59,118.45,49.42
8/1/1979,159.05,78.42,248.33,117.47,132.96,52.55
9/1/1979,154.59,75.73,242.65,111.85,128.75,49.68
10/1/1979,136.9,66.32,216.81,98.52,114.08,43.14
11/1/1979,144.07,69.42,224.41,105.21,117.8,45.61
12/1/1979,145.16,69.59,231.73,103.24,121.07,44.44
1/1/1980,155.16,73.58,249.11,109.39,128.5,46.42
2/1/1980,153.35,72.05,252.08,101.92,129.53,42.75
3/1/1980,132.93,62.06,221.44,89.97,113.06,37.41
4/1/1980,144.19,66.69,220.76,105.44,111.78,43.3
5/1/1980,155.24,67.84,232.01,114.8,103.77,46.73
6/1/1980,164.24,71.39,248.21,121.89,110.36,49.31
7/1/1980,177.36,76.37,267.55,127.3,117.68,50.95
8/1/1980,181.18,77.53,275.66,126.7,120.79,50.15
9/1/1980,177.97,75.63,271.15,124.08,118.08,48.74
10/1/1980,192.1,80.76,298.85,127.41,129.08,49.28
11/1/1980,190.13,79.58,292.93,124.67,126.2,47.86
12/1/1980,185.84,77.3,288.2,120.58,123.42,45.9
1/1/1981,189.32,77.87,294.13,122.81,124.62,46.23
2/1/1981,190.56,77.83,296.76,122.69,125.04,45.58
3/1/1981,202,82.09,304.26,125.39,127.64,46.28
4/1/1981,204.98,82.55,308.81,126.78,128.38,46.23
5/1/1981,195.6,78.25,307.65,124.97,127.49,45.06
6/1/1981,203.4,80.92,314.81,130.01,129.8,46.53
7/1/1981,204.58,80.53,312.44,127.94,127.52,45.26
8/1/1981,193.86,75.8,300.53,123.28,122.04,43.09
9/1/1981,183.09,71.09,281.13,119.49,113.43,41.41
10/1/1981,192.55,73.95,295.35,125.06,117.97,42.81
11/1/1981,204.84,78.13,306.33,134.03,121.88,45.36
12/1/1981,201.78,76.51,305.5,129.11,120.92,43.36
1/1/1982,199.97,74.97,304.3,129.43,119.01,42.88
2/1/1982,195.87,72.89,298.69,125.94,116.09,41.35
3/1/1982,196.91,72.85,294.22,129.02,113.78,42.06
4/1/1982,201.81,73.66,302.49,136.02,115.51,43.6
5/1/1982,199.82,72.51,302.43,134.35,115.18,42.69
6/1/1982,192.48,69.4,291.02,129.74,110.26,40.9
7/1/1982,200.12,71.15,292.31,133.65,109.25,41.49
8/1/1982,214.25,75.7,303.04,152.01,112.68,46.67
9/1/1982,224.51,78.86,316.98,156.94,117.19,47.87
10/1/1982,249.14,86.52,349.07,179.46,127.62,53.98
11/1/1982,260.99,90.1,362.09,190.28,132.08,56.78
12/1/1982,265.62,91.19,371.49,191.91,134.81,56.91
1/1/1983,271.71,92.21,386.38,199.59,138.17,58.51
2/1/1983,279.05,94.08,383.91,203.11,136.62,59.03
3/1/1983,302.27,101.36,420.06,217.92,148.91,62.95
4/1/1983,318.23,105.78,446.92,227.08,156.89,64.94
5/1/1983,318.44,105.27,452.62,228.28,158.49,64.76
6/1/1983,315.54,103.68,460.65,222.52,160.52,62.74
7/1/1983,311.22,101.36,449.52,218.47,155.25,60.95
8/1/1983,308.82,99.95,448.24,214.77,154.17,59.41
9/1/1983,315.71,101.57,443.02,220.44,151.85,60.59
10/1/1983,323.66,103.1,457.83,223.8,154.88,60.85
11/1/1983,328.3,103.99,467.42,225.3,157.72,60.73
12/1/1983,333.28,104.97,485.3,224.34,163.13,60.08
1/1/1984,337.64,105.22,503.27,227.8,167.38,60.33
2/1/1984,332.4,102.93,506.44,219.06,167.76,57.49
3/1/1984,334.72,102.96,506.8,219.57,167.37,57.13
4/1/1984,338.94,103.28,513.96,219.9,168.05,56.56
5/1/1984,329.37,99.71,503.75,209.63,164.01,53.44
6/1/1984,330.21,99.32,503.74,207.51,163.51,52.45
7/1/1984,327.8,97.58,495.22,207.93,158.98,51.9
8/1/1984,343.79,101.64,515.92,217.2,164.74,53.71
9/1/1984,361.72,104.99,552.43,224.99,170.76,55.18
10/1/1984,372.67,107.16,563.97,234.88,172.58,56.94
11/1/1984,377.42,107.88,575.34,237.54,175.49,57.07
12/1/1984,382.65,108.67,586.86,240.64,178.3,57.35
1/1/1985,404.31,113.37,615.51,251.14,183.78,59.21
2/1/1985,410.96,114.43,632.34,253.2,187.7,59.08
3/1/1985,408.2,112.96,642.3,244.7,189.46,56.71
4/1/1985,408.57,112.05,648.36,244.29,189.71,56.11
5/1/1985,419.7,114.39,668.47,252.39,195.24,57.31
6/1/1985,429.44,116.35,682.14,261.84,197.91,59.11
7/1/1985,433.4,116.37,695.28,262.81,200.1,58.82
8/1/1985,409.7,109.17,678.26,235.24,194.42,51.92
9/1/1985,396.94,105.15,664.51,228.8,189.28,50.22
10/1/1985,409.41,107.4,683.23,234.45,193,50.95
11/1/1985,402.83,104.95,680.24,229.68,191.97,49.17
12/1/1985,405.3,104.84,698.93,228.11,195.45,48.55
1/1/1986,420.97,108.03,729.88,238.17,202.6,50.39
2/1/1986,436.9,111.29,744.9,250.55,205.61,52.44
3/1/1986,447.65,113.44,794.53,243.29,217.94,50.71
4/1/1986,450.33,113.13,793.19,247,216.28,50.96
5/1/1986,447.76,111.57,779.74,248.67,211.36,50.67
6/1/1986,463.52,114.9,819.64,253.97,220.75,51.56
7/1/1986,465.62,114.45,815.35,256.42,218.3,51.54
8/1/1986,485.03,118.35,842.41,268.41,224.37,53.36
9/1/1986,473.4,114.87,835.48,257.85,220.86,51.05
10/1/1986,490.89,118.13,854.28,271.12,224.46,53.17
11/1/1986,488.17,116.69,848.27,270.42,222.09,52.44
12/1/1986,483.03,114.53,832.83,271.95,216.1,52.26
1/1/1987,493.35,116.32,879.5,267.74,227.04,51.29
2/1/1987,508.47,119.01,911.03,275.42,233.67,52.24
3/1/1987,509.4,118.33,912.7,275.65,232.68,51.87
4/1/1987,495.59,114.39,901.69,257.42,228.74,48.08
5/1/1987,490.87,112.45,894.84,254.8,225.98,46.95
6/1/1987,500.64,113.84,919.54,257.44,230.88,47.04
7/1/1987,501.13,113.15,919.58,257.88,229.51,46.75
8/1/1987,491.61,110.15,897.59,256.52,222.6,45.98
9/1/1987,481.52,106.79,890.64,244.88,219.59,43.36
10/1/1987,412.75,90.72,754.91,219.72,184.8,38.5
11/1/1987,416.69,90.8,771.92,216.77,187.88,37.48
12/1/1987,431.49,92.76,802.51,229.34,193.82,38.83
1/1/1988,467.03,99.56,846.49,250.84,202.99,42.05
2/1/1988,478.28,101.37,878.86,251.7,209.24,42.02
3/1/1988,479.24,100.76,883.23,250.41,208.64,41.38
4/1/1988,483.18,100.79,889.37,252.07,208.95,41.24
5/1/1988,477.65,98.95,876.25,248.95,204.77,40.29
6/1/1988,490.02,100.58,906.69,255.97,210.29,40.85
7/1/1988,496.21,101.05,916.38,260.77,211.33,41.21
8/1/1988,493.06,99.67,912.1,259.03,208.85,40.65
9/1/1988,491.37,98.58,917.24,256.19,208.64,39.79
10/1/1988,487.72,97,913.22,253.16,206.42,38.89
11/1/1988,479.91,94.78,894.73,250.98,201.08,38.15
12/1/1988,480.49,93.92,910.74,246.09,203.07,36.84
1/1/1989,482.69,93.45,930.92,241.03,206.34,35.59
2/1/1989,474.71,91.32,928.15,229.23,204.31,33.65
3/1/1989,474.58,90.59,932.46,224.92,203.67,32.78
4/1/1989,482.52,91.38,958.81,221.16,207.92,31.89
5/1/1989,493.99,92.78,967.76,230.88,208.88,32.81
6/1/1989,498.3,92.92,986.52,233.17,211.38,32.89
7/1/1989,510.15,94.44,1022.98,236.8,217.69,33.11
8/1/1989,510.65,92.47,1032.42,236,218.38,32.55
9/1/1989,504.61,90.78,1022.76,232.37,215.08,31.81
10/1/1989,483.76,86.39,996.38,220.77,208.05,29.94
11/1/1989,477.21,84.51,993.25,213.17,206.23,28.43
12/1/1989,471.78,82.59,991.26,206.95,204.24,27.2
1/1/1990,461.26,80.04,950.14,209.19,194.66,27.03
2/1/1990,445.44,76.81,943.47,189.75,191.89,24.45
3/1/1990,446.18,75.99,952.88,186.51,192.31,23.45
4/1/1990,439.33,74.09,936.32,185.78,187.6,23.09
5/1/1990,439.19,73.57,935.6,186.76,186.32,23.06
6/1/1990,442.54,71.25,951.76,184.74,179.39,22.52
7/1/1990,434.58,69.29,943.09,180.24,176.47,21.68
8/1/1990,408.04,64.51,875.17,175.48,162.26,20.97
9/1/1990,379.76,59.5,813.28,162.75,149.58,19.19
10/1/1990,366.46,56.72,785.86,157.17,143.07,18.39
11/1/1990,389.8,59.92,841.63,167.88,152.08,19.54
12/1/1990,389.95,59.05,839.09,168.94,150.21,19.26
1/1/1991,424.12,63.74,930.88,182.13,165.55,20.48
2/1/1991,444.98,66.52,947.73,195.86,167.85,22
3/1/1991,478.9,70.83,1029.89,208.26,180.78,22.94
4/1/1991,490.28,71.91,1055.97,212.75,184.11,23.11
5/1/1991,501.85,73.06,1067.71,222.56,185.18,24.07
6/1/1991,488.84,70.44,1037.91,217.46,178.6,23.03
7/1/1991,498.27,71.22,1058.85,220.03,180.95,23
8/1/1991,498.57,70.71,1054.57,221.06,179.04,23
9/1/1991,508.2,71.55,1080.39,227.52,182.18,23.38
10/1/1991,505.06,70.53,1068.51,231.22,178.88,23.44
11/1/1991,505.18,70.09,1062.58,231.16,176.98,23.34
12/1/1991,529.08,72.69,1138.61,222.72,188.47,21.94
1/1/1992,555.27,75.84,1194.06,238.31,196.54,23.24
2/1/1992,542.38,73.56,1165.5,234.93,190.47,22.88
3/1/1992,534.31,71.92,1146.15,233.5,186.2,22.36
4/1/1992,535.51,71.51,1142.08,236.9,184.25,22.41
5/1/1992,552.75,73.26,1191.99,236.93,191.08,22.32
6/1/1992,546.05,71.85,1176.38,233.58,187.42,21.69
7/1/1992,564.53,73.77,1227.49,234.35,194.34,21.53
8/1/1992,559.65,72.64,1231.27,220.2,193.75,20.14
9/1/1992,573,73.85,1256.65,226.71,196.64,20.42
10/1/1992,571.12,73.1,1255.04,223.59,195.11,19.9
